PARAMETER,N,MEAN,STD,CV_PERCENT,MEDIAN,Q25,Q75,MIN,MAX,GEO_MEAN,GEO_CV_PERCENT
auc_inf,16,38.200458,16.918483,44.29,40.510160,31.416565,49.305617,9.117819,70.446697,33.448068,151.29
volume_terminal,16,102.882664,46.105104,44.81,96.731886,71.508576,134.371440,49.084448,231.429162,94.588800,114.25
cmax,50,4.031309,4.150932,102.97,2.578816,1.100837,6.292874,0.207869,19.317749,2.321803,299.56
half_life,16,9.263717,2.577766,27.83,9.421213,7.127948,11.717965,5.972566,13.275352,8.915382,88.64
mrt,16,13.294003,3.944730,29.67,13.056202,10.642392,16.448011,7.701112,19.490951,12.716227,93.45
auc_last,50,24.642383,17.690509,71.79,22.687442,7.540088,38.829180,2.948763,67.113306,17.379737,231.31
tmax,50,1.261640,1.325790,105.08,1.000000,0.500000,2.000000,0.000000,8.000000,NA,NA
clearance,16,7.720151,2.671938,34.61,7.020151,5.847003,8.778492,4.647173,14.150653,7.354025,93.15
